user_id,perk
23557,Exclusive discounts
94883,Free Checked Bag
101486,Exclusive discounts
101961,Free Hotel Meal
106907,No Cancellation Fees
118043,1 night free with flight
120851,Exclusive discounts
125845,Free Checked Bag
133058,Exclusive discounts
149058,Free Hotel Meal
152583,Exclusive discounts
153982,Free Checked Bag
160754,Exclusive discounts
164522,Exclusive discounts
167852,Exclusive discounts
171470,Exclusive discounts
174997,Free Checked Bag
175032,Free Checked Bag
181157,1 night free with flight
182191,Exclusive discounts
187212,Free Checked Bag
189676,Free Checked Bag
190866,Free Hotel Meal
195192,Exclusive discounts
204943,Free Hotel Meal
204997,Free Hotel Meal
205044,No Cancellation Fees
206011,1 night free with flight
216796,Free Checked Bag
217114,Exclusive discounts
217136,Exclusive discounts
220725,Free Checked Bag
224996,Exclusive discounts
226367,Free Checked Bag
228195,Exclusive discounts
228872,Exclusive discounts
229009,Free Checked Bag
229108,Exclusive discounts
229330,Free Checked Bag
232647,Exclusive discounts
249521,Free Checked Bag
252835,Free Hotel Meal
258451,Exclusive discounts
264470,Free Checked Bag
276512,Exclusive discounts
281952,Free Checked Bag
283325,Exclusive discounts
290123,Free Hotel Meal
297546,Free Hotel Meal
298253,Exclusive discounts
299476,Exclusive discounts
306165,Exclusive discounts
306819,Free Checked Bag
312488,Exclusive discounts
313724,Free Hotel Meal
316527,Free Hotel Meal
317688,Free Hotel Meal
322867,Exclusive discounts
324191,Free Checked Bag
328590,1 night free with flight
330764,Free Checked Bag
330893,Free Checked Bag
331039,No Cancellation Fees
334787,Free Checked Bag
337227,Exclusive discounts
338086,Free Checked Bag
340166,Exclusive discounts
343928,Free Checked Bag
347778,Free Hotel Meal
348817,Free Checked Bag
348863,Exclusive discounts
349132,Free Checked Bag
350648,Exclusive discounts
353271,Exclusive discounts
353694,Exclusive discounts
354050,1 night free with flight
354260,Free Checked Bag
354311,Exclusive discounts
354950,Exclusive discounts
356046,Exclusive discounts
357737,1 night free with flight
359072,Free Checked Bag
359080,Free Hotel Meal
359653,Free Checked Bag
361459,Exclusive discounts
361759,Free Checked Bag
363535,Free Checked Bag
365825,Free Checked Bag
371201,Exclusive discounts
372970,Free Checked Bag
373489,Free Checked Bag
374331,No Cancellation Fees
374340,Exclusive discounts
374341,No Cancellation Fees
375160,Exclusive discounts
