user_id,total_hotel_spent,checked_bags,no_cancelled_trip,discounted_trip,trip_with_return_flight
534594,28114.0,0.0,2,0.0,1.0
596863,27489.0,4.0,3,0.0,1.0
507805,27241.0,6.0,5,1.0,5.0
539710,22619.0,1.0,4,1.0,3.0
669329,22356.0,0.0,2,0.0,1.0
730639,22340.0,0.0,2,2.0,0.0
542670,21672.0,1.0,3,0.0,2.0
543273,20158.0,1.0,5,0.0,3.0
485891,19828.0,0.0,2,1.0,1.0
591381,19790.0,1.0,2,0.0,1.0
568258,19738.0,0.0,2,1.0,0.0
570782,19061.0,1.0,5,1.0,4.0
589154,18033.0,1.0,4,1.0,3.0
516283,17584.0,17.0,2,2.0,2.0
528909,17120.0,0.0,2,0.0,0.0
603440,17032.0,4.0,4,0.0,3.0
589539,16598.0,0.0,2,0.0,0.0
577901,16484.0,6.0,1,0.0,1.0
536039,15746.0,3.0,6,2.0,2.0
663565,15620.0,2.0,4,1.0,3.0
557262,15276.0,6.0,4,1.0,2.0
528816,14926.0,4.0,5,0.0,5.0
618088,14886.0,2.0,4,2.0,4.0
561519,14866.0,0.0,2,0.0,0.0
585585,14426.0,2.0,7,1.0,6.0
567432,14406.0,4.0,5,2.0,5.0
727886,14405.0,2.0,4,1.0,4.0
511223,14283.0,4.0,4,1.0,3.0
557134,14142.0,1.0,5,1.0,2.0
618157,13935.0,11.0,3,1.0,2.0
449980,13910.0,0.0,1,1.0,1.0
204943,13544.0,9.0,6,1.0,6.0
524046,13363.0,3.0,4,1.0,2.0
535686,13337.0,4.0,4,1.0,4.0
583023,13282.0,1.0,3,1.0,2.0
566861,13275.0,3.0,5,0.0,3.0
617199,13186.0,2.0,5,1.0,3.0
517931,13109.0,2.0,5,2.0,2.0
527130,13026.0,0.0,2,1.0,1.0
588414,12831.0,0.0,3,1.0,2.0
618535,12313.0,3.0,3,0.0,3.0
552172,12163.0,8.0,4,1.0,2.0
413128,12074.0,1.0,5,3.0,4.0
515085,11985.0,10.0,2,0.0,1.0
537123,11974.0,3.0,3,0.0,3.0
501436,11963.0,6.0,4,1.0,3.0
513093,11879.0,0.0,4,1.0,2.0
515645,11841.0,2.0,3,0.0,0.0
570746,11800.0,2.0,3,2.0,1.0
527197,11720.0,1.0,3,1.0,2.0
540572,11690.0,6.0,6,2.0,5.0
438551,11666.0,10.0,3,1.0,1.0
523256,11545.0,0.0,3,1.0,2.0
526837,11453.0,5.0,3,1.0,3.0
509454,11408.0,1.0,2,0.0,1.0
514021,11362.0,0.0,2,2.0,0.0
666292,11336.0,2.0,1,0.0,1.0
526308,11099.0,2.0,5,1.0,3.0
549141,11053.0,0.0,2,1.0,0.0
558114,10908.0,3.0,4,0.0,3.0
588797,10866.0,10.0,3,1.0,3.0
528953,10858.0,0.0,4,3.0,3.0
558147,10764.0,0.0,1,0.0,0.0
423413,10760.0,0.0,1,0.0,0.0
570346,10614.0,2.0,5,1.0,4.0
541699,10582.0,0.0,6,2.0,2.0
505172,10560.0,7.0,2,1.0,2.0
510188,10530.0,4.0,6,1.0,3.0
505916,10517.0,3.0,5,2.0,4.0
438985,10512.0,1.0,3,2.0,3.0
514503,10392.0,0.0,2,1.0,0.0
539221,10390.0,2.0,6,1.0,3.0
