user_id,free_meal,free_checked_bags,no_cancellation_fees,exclusive_discounts,free_hotel_night
534594,yes,no,no,no,no
596863,yes,yes,no,no,no
507805,yes,yes,yes,no,yes
539710,yes,no,no,no,no
669329,yes,no,no,no,no
730639,yes,no,no,no,no
542670,yes,no,no,no,no
543273,yes,no,yes,no,no
485891,yes,no,no,no,no
591381,yes,no,no,no,no
568258,yes,no,no,no,no
570782,yes,no,yes,no,yes
589154,yes,no,no,no,no
516283,yes,yes,no,no,no
528909,yes,no,no,no,no
603440,yes,yes,no,no,yes
589539,yes,no,no,no,no
577901,yes,yes,no,no,no
536039,yes,yes,yes,no,no
663565,yes,no,no,no,no
557262,yes,yes,no,no,no
528816,yes,yes,yes,no,yes
618088,yes,no,no,no,yes
561519,yes,no,no,no,no
585585,yes,no,yes,no,yes
567432,yes,yes,yes,no,yes
727886,yes,no,no,no,yes
511223,yes,yes,no,no,yes
557134,yes,no,yes,no,no
618157,yes,yes,no,no,no
449980,yes,no,no,no,no
204943,yes,yes,yes,no,yes
524046,yes,yes,no,no,no
535686,yes,yes,no,no,yes
583023,yes,no,no,no,no
566861,yes,yes,yes,no,no
617199,yes,no,yes,no,no
517931,yes,no,yes,no,no
527130,yes,no,no,no,no
588414,yes,no,no,no,no
618535,yes,yes,no,no,no
552172,yes,yes,no,no,no
413128,yes,no,yes,yes,yes
515085,yes,yes,no,no,no
537123,yes,yes,no,no,no
501436,yes,yes,no,no,yes
513093,yes,no,no,no,no
515645,yes,no,no,no,no
570746,yes,no,no,no,no
527197,yes,no,no,no,no
540572,yes,yes,yes,no,yes
438551,yes,yes,no,no,no
523256,yes,no,no,no,no
526837,yes,yes,no,no,yes
509454,yes,no,no,no,no
514021,yes,no,no,no,no
666292,yes,no,no,no,no
526308,yes,no,yes,no,no
549141,yes,no,no,no,no
558114,yes,yes,no,no,yes
588797,yes,yes,no,no,yes
528953,yes,no,no,yes,yes
558147,yes,no,no,no,no
423413,yes,no,no,no,no
570346,yes,no,yes,no,yes
541699,yes,no,yes,no,no
505172,yes,yes,no,no,no
510188,yes,yes,yes,no,yes
505916,yes,yes,yes,no,yes
438985,yes,no,no,no,yes
514503,yes,no,no,no,no
539221,yes,no,yes,no,no
547568,yes,no,no,no,no
548978,yes,no,no,no,no
510571,yes,yes,no,yes,no
518896,yes,yes,no,no,yes
514953,yes,yes,no,no,no
542142,yes,yes,yes,no,yes
535702,yes,yes,yes,no,yes
531427,yes,yes,no,no,yes
525332,yes,yes,yes,no,yes
569170,yes,yes,yes,no,no
524913,yes,no,no,no,no
551804,yes,no,yes,yes,yes
514370,yes,no,no,no,no
520556,yes,yes,yes,yes,no
628033,yes,no,no,no,no
551488,yes,no,no,no,no
573011,yes,no,no,no,no
576985,yes,no,no,no,no
481772,yes,no,no,no,no
558277,yes,yes,yes,no,yes
586820,yes,no,no,yes,no
525234,yes,no,no,yes,yes
579275,yes,yes,yes,no,yes
582768,yes,no,yes,no,yes
550506,yes,no,no,no,no
518196,yes,no,no,no,no
484249,yes,no,no,no,no
512696,yes,no,no,no,no
533327,yes,no,no,no,no
514337,yes,no,no,yes,no
576370,yes,no,no,no,no
532426,yes,no,no,no,no
515764,yes,no,no,no,no
606161,yes,no,no,no,no
571208,yes,yes,no,no,no
504892,yes,no,no,no,no
547459,yes,no,no,no,no
512556,yes,yes,yes,no,yes
556111,yes,no,no,no,no
562338,yes,no,no,no,no
553017,yes,no,yes,no,yes
509162,yes,no,no,no,no
378565,yes,no,yes,no,no
509459,yes,no,no,no,no
542334,yes,no,no,no,no
106907,yes,yes,no,no,no
515344,yes,no,yes,no,no
514461,yes,no,no,no,no
528829,yes,no,no,no,no
513236,yes,no,yes,no,yes
517925,yes,no,no,no,no
545755,yes,no,yes,no,no
515713,yes,no,no,no,no
564258,yes,no,no,no,no
546256,yes,no,yes,no,no
658774,yes,no,no,no,no
548448,yes,no,no,no,no
531959,yes,no,no,no,no
509498,yes,no,no,no,no
518582,yes,no,no,no,no
547817,yes,no,no,no,no
541047,yes,no,no,no,no
542760,yes,no,yes,no,yes
520539,yes,yes,no,no,yes
526332,yes,no,no,no,no
466342,yes,no,no,no,no
684510,yes,no,no,no,no
526367,yes,no,no,no,no
605776,yes,no,yes,no,no
510155,yes,no,no,no,no
525529,yes,no,no,no,no
557562,yes,no,yes,no,no
708887,yes,no,no,no,no
524644,yes,no,no,no,no
671367,yes,yes,yes,no,yes
546882,yes,no,no,no,no
516806,yes,yes,yes,yes,yes
550703,yes,no,no,no,no
557963,yes,no,no,no,yes
700666,yes,no,no,no,no
555521,yes,no,no,no,no
512904,yes,yes,yes,no,yes
547164,yes,no,no,no,no
512976,yes,no,yes,no,yes
519846,yes,no,no,no,no
522445,yes,no,no,no,no
535879,yes,no,yes,no,yes
594103,yes,no,no,no,no
545805,yes,no,no,yes,no
510185,yes,no,no,no,no
530949,yes,no,no,no,no
632965,yes,no,yes,no,yes
571001,yes,no,no,no,no
557492,yes,no,no,no,no
513995,yes,no,no,no,no
513438,yes,no,no,no,no
555852,yes,yes,no,no,no
602478,yes,no,no,no,no
512835,yes,no,yes,no,yes
535878,yes,yes,no,no,no
525102,yes,no,yes,no,no
571553,yes,no,yes,no,yes
570829,yes,no,no,no,no
526062,yes,no,yes,yes,no
561013,yes,no,no,no,no
597029,yes,yes,yes,no,no
503760,yes,no,yes,no,yes
511859,yes,no,no,no,no
509115,yes,yes,yes,no,yes
527850,yes,no,yes,yes,no
495273,yes,yes,yes,no,yes
501184,yes,no,no,no,no
541901,yes,yes,yes,no,yes
571888,yes,no,no,yes,yes
549797,yes,no,yes,no,no
625400,yes,no,no,no,no
608296,yes,no,no,no,no
576691,yes,yes,yes,no,no
573191,yes,yes,no,yes,yes
464855,yes,yes,no,no,no
428858,yes,no,no,no,no
599649,yes,yes,no,no,yes
536058,yes,no,no,no,no
527354,yes,no,no,no,no
531884,yes,no,no,no,no
514980,yes,yes,yes,yes,yes
534351,yes,yes,yes,no,yes
509467,yes,yes,no,no,no
500493,yes,no,no,no,no
539542,yes,no,no,no,no
532329,yes,no,no,no,no
556887,yes,yes,no,yes,no
493718,yes,no,no,no,no
576103,yes,no,no,no,no
562832,yes,no,yes,no,no
524313,yes,no,no,no,no
511800,yes,yes,yes,no,yes
551622,yes,no,no,no,no
513844,yes,no,no,no,no
518827,yes,no,no,no,no
536431,yes,yes,yes,no,yes
571913,yes,no,no,no,no
524012,yes,no,no,no,no
507505,yes,no,no,no,no
497077,yes,no,no,no,yes
374341,yes,no,no,no,no
528421,yes,yes,yes,yes,yes
551088,yes,no,yes,no,no
510946,yes,no,no,no,no
526950,yes,no,no,no,no
519706,yes,no,no,no,no
511208,yes,yes,no,no,no
467892,yes,no,yes,no,yes
549116,yes,no,no,no,no
581343,yes,yes,no,no,no
485894,yes,no,no,no,no
522634,yes,no,no,no,no
544449,yes,no,no,no,no
594695,yes,yes,no,no,no
374331,yes,no,no,no,no
525546,yes,no,yes,no,no
576136,yes,no,no,no,no
331039,yes,yes,no,no,no
407118,yes,yes,no,no,no
535035,yes,no,no,no,no
510365,yes,no,no,no,yes
491124,yes,no,no,no,no
524861,yes,no,no,no,no
601104,yes,no,no,no,no
524821,yes,yes,no,no,no
535007,yes,no,yes,no,yes
654913,yes,no,no,no,no
516579,yes,no,no,no,no
504133,yes,no,no,no,no
517445,yes,no,no,no,no
446138,yes,no,no,no,no
629345,yes,no,no,no,no
508731,yes,yes,no,no,no
614111,yes,no,no,no,no
528122,yes,yes,yes,no,yes
516118,yes,no,no,no,no
538331,yes,yes,yes,no,no
525081,yes,no,no,no,no
519091,yes,no,no,no,no
550068,yes,no,no,no,no
521152,yes,no,no,no,no
485393,yes,no,no,no,no
596505,yes,yes,yes,yes,yes
559918,yes,no,no,no,no
487453,yes,yes,yes,yes,yes
682247,yes,no,no,no,no
546847,yes,yes,yes,no,yes
399137,yes,no,no,no,no
526492,yes,no,yes,yes,no
534782,yes,no,no,no,no
589404,yes,no,no,no,no
515523,yes,no,no,no,no
488511,yes,no,no,no,no
517033,yes,no,no,yes,no
541249,yes,no,no,no,no
526471,yes,yes,yes,no,yes
